Title,Author,Publisher,Published Date,Genre,ISBN,Author Name,Nationality,Birth Date,Publisher Name,Country
The Skull Beneath the Skin,Glenda Lockman,"Dickinson, Hartmann and Doyle",2003-03-06,Folklore,192379336-5,Glenda Lockman,India,1951-05-09,"Dickinson, Hartmann and Doyle",Mexico
Fear and Trembling,Sam Moore Jr.,"Schiller, Schmitt and Waelchi",1998-10-20,Mythopoeia,402571135-4,Sam Moore Jr.,Peru,1935-08-03,"Schiller, Schmitt and Waelchi",Sierra Leone
A Catskill Eagle,Cecil Swift,"Lehner, Brekke and Parker",2011-03-01,Fable,902740477-1,Cecil Swift,Greece,1985-03-25,"Lehner, Brekke and Parker",Northern Mariana Islands
A Darkling Plain,Loris Miller,"MacGyver, Russel and Mohr",2021-08-29,Biography/Autobiography,394434429-4,Loris Miller,Bosnia and Herzegovina,1969-02-09,"MacGyver, Russel and Mohr",French Guiana
A Glass of Blessings,Francina Johnston DVM,Wilderman-Thiel,2007-03-20,Biography/Autobiography,857235109-4,Francina Johnston DVM,Cameroon,1987-10-12,Wilderman-Thiel,"Virgin Islands, U.S."
Postern of Fate,Orpha Ward I,Bergstrom-Huels,2013-10-01,Classic,637755054-5,Orpha Ward I,Libyan Arab Jamahiriya,1973-03-18,Bergstrom-Huels,Argentina
A Summer Bird-Cage,Charlena Ferry,McGlynn Group,2021-03-01,Mystery,377013901-1,Charlena Ferry,Libyan Arab Jamahiriya,1987-05-12,McGlynn Group,Tanzania
For a Breath I Tarry,Sherika Schultz,Ullrich-Stoltenberg,2014-10-15,Horror,253533380-5,Sherika Schultz,Iceland,1958-09-28,Ullrich-Stoltenberg,Papua New Guinea
Noli Me Tangere,Felton Krajcik,"Green, Williamson and Jones",2004-03-08,Folklore,116202362-7,Felton Krajcik,Saint Barthelemy,1983-02-27,"Green, Williamson and Jones",Croatia
Dying of the Light,Benedict O'Conner IV,Rutherford Group,1989-06-20,Speech,937642830-7,Benedict O'Conner IV,Dominican Republic,1936-10-22,Rutherford Group,Haiti
"The World, the Flesh and the Devil",Onita Feest,Christiansen Inc,2001-12-01,Fanfiction,251436019-6,Onita Feest,Uzbekistan,1994-09-30,Christiansen Inc,Saint Kitts and Nevis
